State,Bill Number,Summary,NCDP Categories,Subcategory,Hazard Type
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Funding,State Program Funding,Disaster Mitigation-Wildfire
California,A 9,Establishes in the Office of the State Fire Marshal the Deputy Director of Community Wildfire Preparedness and Mitigation and would require the deputy director to be responsible for fire preparedness and mitigation missions of the department. Transfers and delegates certain duties related to fire safety and wildfire prevention from the Department of Forestry and Fire Protection and the Director of Forestry and Fire Protection to the Office of the State Fire Marshal and the State Fire Marshal.,Funding,State Program Funding,"Water-Resources/Planning, Water, Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 129,Relates to the Budget Act of 2021.,Funding,State Program Funding,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Funding,State Program Funding,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Funding,State Program Funding,"Disaster Mitigation, Wildlife-Pollinators"
California,S 347,"Allows a taxpayer to designate an amount in excess of personal income tax liability to be transferred into the California Community and Neighborhood Tree Voluntary Tax Contribution Fund, created by this bill.",Funding,State Program Funding,"Air Quality (Outdoor), Disaster Mitigation"
California,S 369,"Establishes the Yolo Bypass Cache Slough Partnership Multibenefit Program to support the development and implementation of projects within the Yolo Bypass and Cache Slough region. Defines Yolo Bypass Cache Slough Partnership to mean the multiagency partnership established pursuant to a memorandum of understanding signed in May 2016 by a total of 15 participating federal, state, and local agencies.",Funding,State Program Funding,Disaster Mitigation-Flooding
California,S 496,"Authorizes the State to provide certain funds to the Counties of Monterey and Santa Cruz, or to local agencies in those counties, for the project for flood control on the Pajaro River in such counties. Authorizes, upon certain conditions, the state to provide up to a certain percentage of the costs for these purposes. Makes legislative findings and declarations as to the necessity of a special statute for the Counties of Monterey and Santa Cruz.",Funding,State Program Funding,Disaster Mitigation-Flooding
Colorado,H 1007,"Establishes the Wildfire Mitigation Resources and Best Practices Grant Program within the Colorado State Forest Service, provides that grants must be awarded to applicants proposing to conduct outreach among landowners in high wildfire hazard areas and the forest service must consider the potential impact of the applicants proposed outreach when awarding grants.",Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,H 1012,"Concerns healthy forests, appropriates funds, provides that on and after specified date, the state forest service shall develop a publicly accessible statewide carbon accounting framework that yields carbon stock and flux estimates for ecosystems by county and forest cover type and wood products.",Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,H 1379,"Concerns transfers from the economic recovery and relief cash fund to provide additional funding for the management of certain natural resources, makes an appropriation.",Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,S 114,"Provides a board of county commissioners, in consultation with its fire protection district or fire authority, may apply to the state engineer for the designation of a pond within the borders of a county as a fire suppression pond, provides that before applying for the designation of a pond as a fire suppression pond, a board shall take specified actions, appropriates funds.",Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,S 193,"Creates the Industrial and Manufacturing Operations Clean Air Grant Program through which the Colorado Energy Office awards grant money to private entities, local governments, and public private partnerships for voluntary projects to reduce air pollutants from industrial and manufacturing operations, appropriates funds.",Funding,State Program Funding,"Climate Change - Adaptation and Environment, Climate Change - Emissions Reduction, Financing Energy Efficiency and Renewable Energy, Transportation - Alt Fuel/Hybrid"
Colorado,S 206,"Concerns resources for disaster preparedness and recovery, creates the Disaster Resilience Rebuilding Program, the Sustainable Rebuilding Program, and the Office of Climate Preparedness, appropriates funds.",Funding,State Program Funding,Disaster Mitigation
Colorado,S 7,"Concerns outreach to the public relating to wildfire risk mitigation practices, makes an appropriation.",Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Florida,H 7053,"Relates to statewide flooding and sea level rise resilience, establishes the Statewide Office of Resilience within the Executive Office of the Governor, provides for the appointment of a Chief Resilience Officer, specifies the duties of the Chief Resilience Officer, authorizes and requires certain entities to assist the Chief Resilience Officer, requires the Department of Environmental Protection to submit a report on flood resilience and mitigation efforts.",Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
Hawaii,H 1586,"Clarifies that federal funds received by the state for reimbursement of disaster related expenses, except for federal funds received by the state to reimburse the Department of Education for disaster related expenses, shall first be applied to the originating fund used by the department or agency for payment of disaster relief expenses, provides that if the original appropriation has lapsed, the funds shall be returned to the general fund.",Funding,State Program Funding,Disaster Mitigation
Hawaii,H 1588,"Establishes in the state treasury the Resilient Hawaii Revolving Loan Fund to provide low or no interest loans to the counties and nonprofit organizations for local resilience projects that address mitigation of all hazards, including natural disasters, provides that moneys in the fund may be used for administrative support associated with the revolving loan fund, including the hiring of necessary staff, appropriates funds.",Funding,State Program Funding,Disaster Mitigation
Hawaii,S 1107,Establishes the hazard mitigation special fund for the state emergency management agency.,Funding,State Program Funding,Disaster Mitigation
Iowa,H 2515,Relates to authorized uses of interest earned on funds in the flood recovery fund and includes effective date provisions.,Funding,State Program Funding,Disaster Mitigation-Flooding
Idaho,S 1190,"Relates to the appropriating monies to the Department of Water Resources for fiscal year 2022, limits the number of authorized full-time equivalent positions, transfers monies from the revolving development fund to the Aquifer Planning and Management Fund, transfers monies from the general fund to the Secondary Aquifer Planning, Management, and Implementation Fund, provides requirements for water quality monitoring, provides requirements for Ririe Reservoir Flood Control Rules.",Funding,State Program Funding,"Water-Resources/Planning, Water, Disaster Mitigation-Flooding"
Louisiana,H 1052,"Establishes the Hazard Mitigation Revolving Loan Fund to provide assistance for projects that will reduce disaster risks for homeowners, businesses, nonprofit organizations, and communities in order to decrease the loss of life and property, the cost of insurance, and Federal disaster payments, or as otherwise required by federal law or grant agreements.",Funding,State Program Funding,Disaster Mitigation
Maryland,S 528,"Requires the State to reduce statewide greenhouse gas emissions through the use of various measures, includes the alteration of statewide greenhouse gas emissions goals, relates to establishment of a net zero statewide greenhouse gas emissions goal, relates to the development of certain energy efficiency and emissions reduction requirements for certain buildings, requires electric companies to increase their annual incremental gross energy savings through certain programs and services.",Funding,State Program Funding,Disaster Mitigation
Maine,S 717,"Establishes the Farmers Drought Relief Grant Program to assist farmers in the state to overcome the adverse effects of drought conditions by providing grants, appropriates funds.",Funding,State Program Funding,"Disaster Mitigation, Drought"
Minnesota,H 3420,"Appropriates money for drought relief, establishes cooperative grants for farmers, establishes farm down payment assistance grants, establishes a soil health financial assistance pilot program, makes policy and technical changes to agricultural provisions, modifies previous appropriations, establishes the broadband line extension program, establishes the lower population density pilot program.",Funding,State Program Funding,"Disaster Mitigation, Drought"
Minnesota,S 20,"Relates to state government, appropriates money for environment, natural resources, and tourism, appropriates money from environment and natural resources trust fund, modifies fees and programs, modifies disposition and expenditure of certain funds, creates accounts, authorizes sales and conveyances of certain state land, adds to and deleting from state parks and recreation areas, modifies state land and school trust land provisions, provides cost-share incentives to increase tree planting.",Funding,State Program Funding,"Disaster Mitigation-Flooding, Wildlife-Pollinators"
Mississippi,S 3018,"Makes an appropriation to defray the expenses of the State Emergency Management Agency, and for the purpose of establishing a Disaster Relief Reserve Fund and defraying the costs related to certain disaster assistance programs for fiscal year 2023.",Funding,State Program Funding,Disaster Mitigation
North Carolina,S 105,"Makes base budget appropriations for current operations of state agencies, departments, and institutions.",Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Flooding, Wildlife-Pollinators"
New Jersey,A 3,"Amends and supplements the Appropriations Act, extends dates for authorized appropriations, makes supplemental appropriations of specified amount in state and federal funds.",Funding,State Program Funding,Disaster Mitigation-Flooding
New Jersey,A 5053,"Amends list of environmental infrastructure projects approved for long-term funding for FY2021 to include new projects and modify estimated loan amounts for certain projects, modifies terms and conditions for certain loans utilizing federal funds.",Funding,State Program Funding,Disaster Mitigation-Flooding
New Jersey,A 5054,"Authorizes NJ Infrastructure Bank to expend additional sums to make loans for environmental infrastructure projects for FY2021, modifies terms and conditions for certain loan utilizing federal funds.",Funding,State Program Funding,Disaster Mitigation-Flooding
New Jersey,A 5588,"Appropriates moneys to the Department of Environmental Protection for the purpose of making zero interest loans or principal forgiveness loans to project sponsors to finance a portion of the costs of environmental infrastructure projects, authorizes to transfer from the Clean Water State Revolving Fund to the Drinking Water State Revolving Fund, additional amounts as may be necessary to address a threat to public health.",Funding,State Program Funding,Disaster Mitigation-Flooding
New Jersey,A 5589,"Authorizes the expenditure of funds by the New Jersey Infrastructure Bank for the purpose of making loans to eligible project sponsors to finance a portion of the cost of construction of environmental infrastructure projects, and making an appropriation.",Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Flooding"
New Jersey,A 5975,"Alters the list of environmental infrastructure projects for which the Legislature has appropriated funds to the Department of Environmental Protection for State fiscal year 2022 to include new projects, remove projects, modify the priority of certain projects, and modify the loan amounts for certain projects, reflects changes in the financial plan of the New Jersey Infrastructure Bank, which administers the loans used to finance the environmental infrastructure projects listed in the bill.",Funding,State Program Funding,Disaster Mitigation
New Jersey,S 2021,Appropriates a specified sum in state funds and in federal funds for the state budget for the current fiscal year.,Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Flooding"
New Jersey,S 2022,Appropriates funds for the state budget for fiscal year 2021 to 2022.,Funding,State Program Funding,Disaster Mitigation
New Jersey,S 2498,Authorizes the State Infrastructure Bank to expend certain sums to make loans for environmental infrastructure projects for the upcoming fiscal year.,Funding,State Program Funding,Disaster Mitigation-Flooding
New Jersey,S 2499,Appropriates funds to the Department of Environmental Protection for environmental infrastructure projects for the upcoming fiscal year.,Funding,State Program Funding,Disaster Mitigation-Flooding
New Jersey,S 4078,"Makes changes to the authorization given to the New Jersey Infrastructure Bank to make loans for environmental infrastructure projects for Fiscal Year 2022, amends the lists of environmental infrastructure projects for which the NJIB is authorized to make loans to include new projects, remove projects, modify the priority of certain projects, and modify the trust loan amounts for certain projects.",Funding,State Program Funding,Disaster Mitigation
New York,S 2509,"Enacts into law major components of legislation which are necessary to implement the state fiscal plan for the 2021 to 2022 state fiscal year, imposes a tax surcharge on wealthy taxpayers, relates to delaying tax reductions, imposes a pass through entity tax, relates to child care services expenditures under the excelsior jobs program and the employer provided child care credit.",Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Flooding"
Oklahoma,H 3819,"Relates to rural hazard mitigation funding, enacts the Oklahoma Disaster Mitigation and Recovery Matching Fund Act, makes appropriation to the Oklahoma Disaster Mitigation and Recovery Matching Fund, imposes restrictions related to matching for federal funds, provides for administration for fund, creates accounts, provides for subaccounts, authorizes use of funds for certain unincorporated areas, authorizes use of funds for benefit of certain municipalities, prohibits certain funds transfers.",Funding,State Program Funding,Disaster Mitigation
Oregon,H 4156,"Relates to state financial administration, transfers Oregon Pre-Disaster Mitigation Fund to Oregon Department of Emergency Management.",Funding,State Program Funding,Disaster Mitigation
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Funding,State Program Funding,"Disaster Mitigation, Heat"
Pennsylvania,S 915,"Provides for the capital budget for fiscal year 2021-2022, itemizes public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs.",Funding,State Program Funding,Disaster Mitigation-Flooding
Rhode Island,H 5967,"Creates the Ocean State Climate Adaptation and Resilience Fund as a long term source of grant funds to enable cities and towns to implement projects that restore and improve the climate resilience of vulnerable coastal habitats, rivers and stream floodplains with priority to projects that improve community resilience and public safety, provides for technical advisory committee, provides for eligible projects, provides for disbursement, provides for a adaptation fee for each barrel of petroleum product.",Funding,State Program Funding,Disaster Mitigation
Virginia,H 1309,Concerns resilient Virginia Revolving Loan Fund.,Funding,State Program Funding,"Disaster Mitigation, Disaster Mitigation-Flooding"
Virginia,S 756,"Relates to Resilient Virginia Revolving Fund, provides definitions, relates to deposit of moneys, relates to expenditures, relates to investments, relates to annual audit, relates to collection of money due to Fund, relates to loans to local governments, relates to grants to local governments.",Funding,State Program Funding,Disaster Mitigation
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Funding,State Program Funding,Disaster Mitigation
West Virginia,H 4295,"Transfers the State Office of the National Flood Insurance Program from the Offices of the Insurance Commissioner to the Division of Emergency Management, requires the establishment of floodplain management guidelines in special hazard areas which are in conformity with federal regulations, requires the state treasurer to distribute funds from the flood insurance tax fund to finance the operations and responsibilities of the State Office of the National Flood Insurance Program.",Funding,State Program Funding,Disaster Mitigation-Flooding
Alaska,H 227,"Relates to municipal energy and resilience improvement assessment programs, relates to the planning commission membership apportionment requirement for first and second class boroughs.",Governance,Governance,"Water-Conservation/Efficiency, Water, Disaster Mitigation"
Arizona,H 2580,"Relates to the Department of Forestry and Fire Management, modifies delegation of authority relating to wildfire prevention, mitigation, and suppression activities.",Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Arizona,S 1740,"Provides that the Water Infrastructure Finance Authority of Arizona terminates on specified date, specifies sections that are repealed on specified date, if the authority meets specified requirements, provides that the Director of Water Resources shall take specified actions, including prepare and issue a water supply and demand assessment for at least six of the forty-six groundwater basins, provides that the authority is not subject to any statutory requirement to pay another party's attorney fees.",Governance,Governance,"Disaster Mitigation, Drought"
California,A 1183,"Establishes the State Desert Conservation Program under the administration of the Wildlife Conservation Board to protect, preserve, and restore the natural, cultural, and physical resources of portions of the Mojave and Colorado Deserts region, to promote the protection and restoration of the biological diversity of the region, to provide for resilience in the region to climate change, to improve air quality and water resources, and to enhance public use and enjoyment of the lands.",Governance,Governance,"Climate Change, Climate Change - Adaptation and Environment"
California,A 1592,"Relates to the Fresno Metropolitan Flood Control Act which requires that a contract entered into by the Fresno Flood Control District for materials, supplies, or for the construction or repair of works or improvements that has a contract price exceeding a specified amount be let to the lowest responsible bidder. Increases the contract price amount set forth in those provisions for a contract for materials or supplies.",Governance,Governance,Disaster Mitigation-Flooding
California,A 431,"Extends to January 1, 2026, the State Board of Forestry and Fire Protection's authorization to exempt a person from the Forest Practice Act of 1973 engaging in the cutting or removal of trees on the person's property in compliance with specified defensible space requirements as provided.",Governance,Governance,Disaster Mitigation-Wildfire
California,A 559,"Requires the governing board of the conservancy to consist of 16 voting members. Relates to Native American tribe. Requires the Chairpersons of the Board of Directors of the Fresno Metropolitan Flood Control District and the Madera Irrigation District to rotate appointments, with each chairperson serving for one 2-year term before rotating to the other chairperson.",Governance,Governance,Disaster Mitigation-Flooding
California,A 642,"Requires the director to identify areas in the state as moderate and high fire hazard severity zones. Modifies the factors the director is required to use to classify areas into fire hazard severity zones. Requires a local agency, within a specified number of days of receiving a transmittal from the director that identifies fire hazard severity zones, to make the information available for public comment. Imposes a state mandated local program. Requires the appointment of a cultural burning liaison.",Governance,Governance,"Climate Change, Climate Change - Adaptation and Environment"
California,A 781,"Authorizes the state to provide subvention funds to the County of Orange for a specified flood control project at an estimated cost to the state of the sum that may be appropriated for state cooperation by the Legislature and upon a determination by the Department of Water Resources that the project meets specified requirements. Provides that the state assumes no liability for damages that may result from the project by authorizing the provision of subvention funds, or by the appropriation of those funds.",Governance,Governance,Disaster Mitigation-Flooding
California,A 9,Establishes in the Office of the State Fire Marshal the Deputy Director of Community Wildfire Preparedness and Mitigation and would require the deputy director to be responsible for fire preparedness and mitigation missions of the department. Transfers and delegates certain duties related to fire safety and wildfire prevention from the Department of Forestry and Fire Protection and the Director of Forestry and Fire Protection to the Office of the State Fire Marshal and the State Fire Marshal.,Governance,Governance,"Water-Resources/Planning, Water, Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 109,"Establishes the Department of Forestry and Fire Protection and establishes various programs for the prevention and reduction of wildfires. Establishes the Office of Wildfire Technology Research and Development within the Department of Forestry and Fire Protection under the direct control of the Director of the department. Makes the office responsible for studying, testing, and advising regarding procurement of emerging technologies and tools in order to more effectively prevent and suppress wildfires.",Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 369,"Establishes the Yolo Bypass Cache Slough Partnership Multibenefit Program to support the development and implementation of projects within the Yolo Bypass and Cache Slough region. Defines Yolo Bypass Cache Slough Partnership to mean the multiagency partnership established pursuant to a memorandum of understanding signed in May 2016 by a total of 15 participating federal, state, and local agencies.",Governance,Governance,Disaster Mitigation-Flooding
California,S 456,"Renames the task force the Wildfire and Forest Resilience Task Force and require the task force, including the agency and the department, on a specified date, to develop a comprehensive implementation strategy to track and ensure the achievement of the goals and key actions identified in the action plan, as provided.",Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 552,"Requires small water suppliers, as defined, serving 1,000 to 2,999 service connections, inclusive, and nontransient noncommunity water systems that are schools, no later than a specified date, to develop and maintain an abridged Water Shortage Contingency Plan that includes specified drought-planning elements. Requires a small water supplier serving fewer than 1,000 service connections to add drought planning elements to its emergency notification or response plan and submit the plan to the state board.",Governance,Governance,"Water-Resources/Planning, Water, Disaster Mitigation, Drought"
California,S 63,"Requires the Director of Forestry and Fire Protection to establish a statewide program to allow qualified entities, as defined, to support and augment the Department of Forestry and Fire Protection in its defensible space and home hardening assessment and education efforts. Requires the director to identify areas of the state as moderate and high fire hazard severity zones. Modifies the factors the director is required to use to identify areas into fire hazard severity zones, as provided.",Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,H 1007,"Establishes the Wildfire Mitigation Resources and Best Practices Grant Program within the Colorado State Forest Service, provides that grants must be awarded to applicants proposing to conduct outreach among landowners in high wildfire hazard areas and the forest service must consider the potential impact of the applicants proposed outreach when awarding grants.",Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Colorado,H 1225,"Implements the recommendations in the Department of Regulatory Agencies 2021 sunset report on the Colorado Resiliency Office in the Department of Local Affairs by continuing the office for another 15 years, until 2037.",Governance,Governance,Disaster Mitigation
Colorado,S 15,Adds to the board of directors of the urban drainage and flood control district one director from Douglas county to be appointed by the governor as with existing director appointments representing various counties.,Governance,Governance,Disaster Mitigation-Flooding
Colorado,S 206,"Concerns resources for disaster preparedness and recovery, creates the Disaster Resilience Rebuilding Program, the Sustainable Rebuilding Program, and the Office of Climate Preparedness, appropriates funds.",Governance,Governance,Disaster Mitigation
Colorado,S 7,"Concerns outreach to the public relating to wildfire risk mitigation practices, makes an appropriation.",Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Florida,H 513,"Provides that by certain date, and each specified date thereafter, the South Florida Water Management District shall prepare and submit a consolidated annual report regarding the of the United States Army Corps of Engineers Section 216 Central and Southern Florida Project Infrastructure Resiliency Study to the Office of Economic and Demographic Research, the department, the Governor, the President of the Senate, and the Speaker of the House of Representatives, specifies what the report must include.",Governance,Governance,"Water-Resources/Planning, Water, Disaster Mitigation, Disaster Mitigation-Flooding"
Florida,H 7053,"Relates to statewide flooding and sea level rise resilience, establishes the Statewide Office of Resilience within the Executive Office of the Governor, provides for the appointment of a Chief Resilience Officer, specifies the duties of the Chief Resilience Officer, authorizes and requires certain entities to assist the Chief Resilience Officer, requires the Department of Environmental Protection to submit a report on flood resilience and mitigation efforts.",Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
Florida,S 442,Authorizes land authorities to assist the counties in which they are located with certain activities addressing flooding and sea level rise.,Governance,Governance,"Climate Change, Sea Level Rise, Climate Change - Adaptation and Environment"
Florida,S 882,"Relates to inventories of critical wetlands, requires each water management district governing board, in cooperation with local governments, to develop a list of critical wetlands for acquisition using funds from the Land Acquisition Trust Fund, requires the boards to consider certain criteria when including wetlands on the list.",Governance,Governance,"Water Resources/Planning, Water, Disaster Mitigation-Flooding"
Georgia,H 244,"Relates to the funding of services or reduction of ad valorem taxes in unincorporated areas of counties, relates to powers and duties of governing authority to include flood risk reduction in the enumerated list of county, provides for which county ad valorem taxes or county corporation taxes based upon gross direct insurance premiums shall be used.",Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Flooding"
Hawaii,H 1149,"Integrates the land use commission within a modified office of planning, to be renamed the office of planning and sustainable development, integrates the office of environmental quality control within the office of planning and sustainable development, improves the coordination of these related functions so state government can work more efficiently to achieve the State's long-term sustainability and climate change goals.",Governance,Governance,Climate Change - Adaptation and Environment
Hawaii,H 1318,"Relates to sustainability, establishes environmental advisory council, provides for membership, provides that there shall be an advisory committee on plants and animals, establishes a statewide transportation council and provides for membership and duties.",Governance,Governance,Disaster Mitigation
Hawaii,H 1436,"Expands the authority of the counties to regulate the transfer of development rights to help protect areas vulnerable to sea level rise, coastal erosion, storm surge, and flooding, thereby facilitating the potential movement of development away from at risk areas to locations more appropriate for development.",Governance,Governance,"Disaster Mitigation, Sea Level Rise, Disaster Mitigation-Flooding"
Hawaii,H 1586,"Clarifies that federal funds received by the state for reimbursement of disaster related expenses, except for federal funds received by the state to reimburse the Department of Education for disaster related expenses, shall first be applied to the originating fund used by the department or agency for payment of disaster relief expenses, provides that if the original appropriation has lapsed, the funds shall be returned to the general fund.",Governance,Governance,Disaster Mitigation
Hawaii,H 1588,"Establishes in the state treasury the Resilient Hawaii Revolving Loan Fund to provide low or no interest loans to the counties and nonprofit organizations for local resilience projects that address mitigation of all hazards, including natural disasters, provides that moneys in the fund may be used for administrative support associated with the revolving loan fund, including the hiring of necessary staff, appropriates funds.",Governance,Governance,Disaster Mitigation
Hawaii,H 1672,"Expands the purpose and rationale for which counties may create special improvement districts to include environmental research, restoration, and maintenance, relates to natural resource management, relates to natural hazard mitigation to improve environmental conditions and provide community benefits.",Governance,Governance,"Disaster Mitigation, Drought, Sea Level Rise, Flooding"
Hawaii,H 2120,"Clarifies current practices, policies, and procedures of the state emergency management program and updates it with the prevailing emergency management best practices, highlights the intent of the State, governor, and emergency management agencies to address environmental and climate impacts on emergency management.",Governance,Governance,Disaster Mitigation
Hawaii,H 243,"Requires the Office of Planning, in cooperation with each state agency having operational responsibilities over state facilities, identifies existing and planned facilities vulnerable to sea level rise, flooding impacts, and natural hazards, assesses options to mitigate the impacts of sea level rise to facilities, submits certain annual reports to the Governor, Legislature, and Hawaii climate change mitigation and adaptation commission.",Governance,Governance,"Disaster Mitigation, Sea Level Rise"
Hawaii,S 1107,Establishes the hazard mitigation special fund for the state emergency management agency.,Governance,Governance,Disaster Mitigation
Hawaii,S 3087,"Provides for mutual assistance between the states entering into this compact in managing any emergency or disaster that is duly declared by the governor of the affected state, whether arising from natural disaster, technological hazard, manmade disaster, civil emergency aspects of resources shortages, community disorders, insurgency, or enemy attack.",Governance,Governance,Disaster Mitigation
Iowa,H 2515,Relates to authorized uses of interest earned on funds in the flood recovery fund and includes effective date provisions.,Governance,Governance,Disaster Mitigation-Flooding
Iowa,H 523,Designates certain county flood mitigation activities as an essential county purpose.,Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Flooding"
Idaho,H 185,Amends existing law to provide that lands annexed to a district may be contiguous or noncontiguous to the existing district.,Governance,Governance,Disaster Mitigation-Flooding
Illinois,H 253,"Amends the Department of Transportation Law of the Civil Administrative Code, requires the Department of Transportation to establish and implement a transportation performance program for all transportation facilities under its jurisdiction, provides that the Department shall develop a risk-based, statewide highway system asset management plan to preserve and improve the conditions of highway and bridge assets and enhance the performance of the system while minimizing life-cycle cost.",Governance,Governance,Disaster Mitigation
Illinois,H 2739,"Creates the Private Primary Residential Flood Insurance Act, provides that authorized insurers must obtain the Director of Insurances approval for a plan of operation or material revisions to such plan, removes language that provides that the Department of Insurance may require that an insurer file the forms for primary residential flood insurance coverage, or that an authorized insurer may issue an insurance policy, contract, or endorsement.",Governance,Governance,Disaster Mitigation-Flooding
Indiana,H 1055,Codifies the compact between the Pokagon Band of Potawatomi Indians and the state providing for the conduct of tribal class III gaming.,Governance,Governance,"Water-Resources/Planning, Water, Disaster Mitigation-Flooding"
Indiana,S 329,Increases the membership of the Flood Control District Board of Commissioners to include two individuals appointed by the executive of each town included in whole or in part in the flood control district if the town does not have a works board.,Governance,Governance,Disaster Mitigation-Flooding
Indiana,S 85,"Establishes a drainage task force, provides for membership, requires the task force to review the responsibilities of landowners and state and local authorities under current laws relating to the drainage of land, make certain determinations concerning drainage and regulatory matters, and determine whether the balance between state authority and local authority over drainage of agricultural land favors state authority more in Indiana than in neighboring states.",Governance,Governance,Disaster Mitigation-Flooding
Louisiana,H 1052,"Establishes the Hazard Mitigation Revolving Loan Fund to provide assistance for projects that will reduce disaster risks for homeowners, businesses, nonprofit organizations, and communities in order to decrease the loss of life and property, the cost of insurance, and Federal disaster payments, or as otherwise required by federal law or grant agreements.",Governance,Governance,Disaster Mitigation
Louisiana,H 686,"Relates to management of the Amite River Basin, provides for the board of commissioners, provides for appointment and terms of commissioners, provides for powers and duties of the board, provides for contact authority, provides for posting requirements, provides for technical assistance from the Coastal Protection and Restoration Authority and the Pontchartrain Levee District, provides for taxing authority.",Governance,Governance,Disaster Mitigation-Flooding
Louisiana,H 713,"Provides that for the purpose of managing stormwater flooding, including abatement of litter and other flood causing sediments, a political subdivision may create one or more stormwater utility systems and adopt stormwater utility fees sufficient to plan, construct, acquire, extend, improve, operate, and maintain stormwater management systems, either within or without its boundaries.",Governance,Governance,Disaster Mitigation-Flooding
Massachusetts,S 9,Creates a next-generation roadmap for Massachusetts climate policy.,Governance,Governance,Disaster Mitigation
Maryland,S 630,"Establishes the Office of Resilience in the Maryland Department of Emergency Management, requires the Director of the Maryland Department of Emergency Management to appoint a Chief Resilience Officer to direct the Office of Resilience, requires the Office of Resilience to coordinate with appropriate State agencies and State entities to meet certain goals, relates to the Office of Resilience in the Department of Emergency Management.",Governance,Governance,Disaster Mitigation
Maine,H 1169,(Resolve) Requires specified departments to review the laws and rules they are charged with administering and submit recommendations to the Joint Standing Committee on Environment and Natural Resources by specified dates necessary to incorporate consideration of 1.5 feet of relative sea level rise by 2050 and 4 feet by 2100 into administration of those laws and rules and to implement the strategy designated as Strategy F3 in the 2020 state climate action plan.,Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
Mississippi,S 3018,"Makes an appropriation to defray the expenses of the State Emergency Management Agency, and for the purpose of establishing a Disaster Relief Reserve Fund and defraying the costs related to certain disaster assistance programs for fiscal year 2023.",Governance,Governance,Disaster Mitigation
North Carolina,S 105,"Makes base budget appropriations for current operations of state agencies, departments, and institutions.",Governance,Governance,"Disaster Mitigation, Disaster Mitigation-Flooding, Wildlife-Pollinators"
North Carolina,S 496,"Provides that whenever a state of disaster is proclaimed for the state or for an area within or whenever the President of the U.S. has issued a major disaster declaration for the state or for an area within under the Stafford Act, the application of any provision in an insurance policy insuring real property and its contents that are located within the designated area in the proclamation, which provision requires an insured to file a proof of loss within a certain time period after the loss shall be stayed.",Governance,Governance,Disaster Mitigation
Nebraska,L 406,"Relates to natural resources, states legislative findings, creates the Statewide Tourism And Recreational Water Access and Resource Sustainability Special Committee of the Legislature, provides powers and duties, provides a termination date for the committee and to declare an emergency.",Governance,Governance,"Water-Resources/Planning, Water, Disaster Mitigation-Flooding"
New Hampshire,S 409,Modifies the circumstances under which the governor may approve exceptional disaster relief loans.,Governance,Governance,Disaster Mitigation
New Hampshire,S 53,Provides that certain records relative to the assessing standards board and the certification of assessors shall be exempt from Department of Revenue administration confidentiality requirements.,Governance,Governance,Disaster Mitigation
New York,A 5386,"Provides that the Department of Agriculture and Markets, in cooperation with the State Soil and Water Conservation Committee, and other partners working on soil health shall encourage agricultural producers in urban, suburban and rural communities to improve and maintain the health of farm soils by managing and optimizing soil health to mitigate and adapt to climate change and improve water quality while improving long term soil productivity, efficiency, resiliency and profitability of farming.",Governance,Governance,Disaster Mitigation
